Resumed Training Logs

Epoch [636/2000], Discriminator Loss: 1.3301, Generator Loss: 0.8897
Epoch [637/2000], Discriminator Loss: 1.2619, Generator Loss: 0.9324
Epoch [638/2000], Discriminator Loss: 1.2238, Generator Loss: 0.9249
Epoch [639/2000], Discriminator Loss: 1.2539, Generator Loss: 0.9105
Epoch [640/2000], Discriminator Loss: 1.2363, Generator Loss: 0.9069
Epoch [641/2000], Discriminator Loss: 1.1682, Generator Loss: 0.9340
Epoch [642/2000], Discriminator Loss: 1.2568, Generator Loss: 0.9529
Epoch [643/2000], Discriminator Loss: 1.1694, Generator Loss: 0.9258
Epoch [644/2000], Discriminator Loss: 1.1560, Generator Loss: 0.9922
Epoch [645/2000], Discriminator Loss: 1.1115, Generator Loss: 0.9656
Epoch [646/2000], Discriminator Loss: 1.1972, Generator Loss: 0.9475
Epoch [647/2000], Discriminator Loss: 1.3468, Generator Loss: 0.8553
Epoch [648/2000], Discriminator Loss: 1.2056, Generator Loss: 0.9338
Epoch [649/2000], Discriminator Loss: 1.1509, Generator Loss: 0.9668
Epoch [650/2000], Discriminator Loss: 1.2444, Generator Loss: 0.9687
Epoch [651/2000], Discriminator Loss: 1.1683, Generator Loss: 0.9835
Epoch [652/2000], Discriminator Loss: 1.2797, Generator Loss: 0.9507
Epoch [653/2000], Discriminator Loss: 1.2035, Generator Loss: 0.9067
Epoch [654/2000], Discriminator Loss: 1.2149, Generator Loss: 0.9587
Epoch [655/2000], Discriminator Loss: 1.2500, Generator Loss: 0.9472
Epoch [656/2000], Discriminator Loss: 1.2203, Generator Loss: 0.9375
Epoch [657/2000], Discriminator Loss: 1.1790, Generator Loss: 0.9660
Epoch [658/2000], Discriminator Loss: 1.1894, Generator Loss: 0.9331
Epoch [659/2000], Discriminator Loss: 1.1412, Generator Loss: 0.9218
Epoch [660/2000], Discriminator Loss: 1.1943, Generator Loss: 0.9441
Epoch [661/2000], Discriminator Loss: 1.2435, Generator Loss: 0.9674
Epoch [662/2000], Discriminator Loss: 1.1606, Generator Loss: 0.9783
Epoch [663/2000], Discriminator Loss: 1.1999, Generator Loss: 0.9419
Epoch [664/2000], Discriminator Loss: 1.2144, Generator Loss: 0.9283
Epoch [665/2000], Discriminator Loss: 1.1204, Generator Loss: 0.9943
Epoch [666/2000], Discriminator Loss: 1.2149, Generator Loss: 0.9767
Epoch [667/2000], Discriminator Loss: 1.1861, Generator Loss: 0.9539
Epoch [668/2000], Discriminator Loss: 1.2345, Generator Loss: 0.9533
Epoch [669/2000], Discriminator Loss: 1.2651, Generator Loss: 0.9385
