Training Logs

Epoch [250/3000], Discriminator Loss: 1.2628, Generator Loss: 0.8210
Epoch [251/3000], Discriminator Loss: 1.2777, Generator Loss: 0.8458
Epoch [252/3000], Discriminator Loss: 1.2577, Generator Loss: 0.8117
Epoch [253/3000], Discriminator Loss: 1.2008, Generator Loss: 0.8601
Epoch [254/3000], Discriminator Loss: 1.2112, Generator Loss: 0.8904
Epoch [255/3000], Discriminator Loss: 1.1620, Generator Loss: 0.9202
Epoch [256/3000], Discriminator Loss: 1.2072, Generator Loss: 0.9205
Epoch [257/3000], Discriminator Loss: 1.2125, Generator Loss: 0.9427
Epoch [258/3000], Discriminator Loss: 1.2050, Generator Loss: 1.0101
Epoch [259/3000], Discriminator Loss: 1.1083, Generator Loss: 1.0127
Epoch [260/3000], Discriminator Loss: 1.0891, Generator Loss: 1.0256
Epoch [261/3000], Discriminator Loss: 1.0751, Generator Loss: 0.9737
Epoch [262/3000], Discriminator Loss: 1.2357, Generator Loss: 0.8909
Epoch [263/3000], Discriminator Loss: 1.2107, Generator Loss: 0.8977
Epoch [264/3000], Discriminator Loss: 1.2457, Generator Loss: 0.8605
Epoch [265/3000], Discriminator Loss: 1.1981, Generator Loss: 0.8725
Epoch [266/3000], Discriminator Loss: 1.2721, Generator Loss: 0.8724
Epoch [267/3000], Discriminator Loss: 1.2152, Generator Loss: 0.9509
Epoch [268/3000], Discriminator Loss: 1.1420, Generator Loss: 0.9858
Epoch [269/3000], Discriminator Loss: 1.2246, Generator Loss: 0.8793
Epoch [270/3000], Discriminator Loss: 1.2666, Generator Loss: 0.8702
Epoch [271/3000], Discriminator Loss: 1.2080, Generator Loss: 0.8862
Epoch [272/3000], Discriminator Loss: 1.2371, Generator Loss: 0.8581
Epoch [273/3000], Discriminator Loss: 1.1775, Generator Loss: 0.8764
Epoch [274/3000], Discriminator Loss: 1.2521, Generator Loss: 0.9043
Epoch [275/3000], Discriminator Loss: 1.1557, Generator Loss: 1.0544
Epoch [276/3000], Discriminator Loss: 1.1071, Generator Loss: 1.0091
Epoch [277/3000], Discriminator Loss: 1.2185, Generator Loss: 0.8822
Epoch [278/3000], Discriminator Loss: 1.2867, Generator Loss: 0.8457
Epoch [279/3000], Discriminator Loss: 1.2780, Generator Loss: 0.8109
Epoch [280/3000], Discriminator Loss: 1.2290, Generator Loss: 0.9084
Epoch [281/3000], Discriminator Loss: 1.1753, Generator Loss: 0.8803
Epoch [282/3000], Discriminator Loss: 1.1799, Generator Loss: 0.9568
Epoch [283/3000], Discriminator Loss: 1.2736, Generator Loss: 0.8632
Epoch [284/3000], Discriminator Loss: 1.2725, Generator Loss: 0.8781
Epoch [285/3000], Discriminator Loss: 1.2316, Generator Loss: 0.8799
Epoch [286/3000], Discriminator Loss: 1.1701, Generator Loss: 0.9426
